mu10,mu01,p,theta,sources,k,opt_set,opt,avg,worst,greedy_set,greedy_score,closeness_set,closeness_score
0.022428999418035916,0.2092024567904232,0.9152101212872454,0.7147887618122546,"[2661, 2264, 2416, 3544, 3841, 1482, 1064]",2,"Set([1064, 1482])",0.25738573968973455,0.19475205451527464,0.147525133284384,"Set([1064, 1482])",0.25738573968973455,"Set([1064, 1482])",0.25738573968973455
0.022428999418035916,0.2092024567904232,0.9152101212872454,0.7147887618122546,"[2661, 2264, 2416, 3544, 3841, 1482, 1064]",3,"Set([1064, 1482, 2661])",0.36662141557810757,0.3060926261215566,0.24459659833307257,"Set([1064, 1482, 2661])",0.36662141557810757,"Set([1064, 1482, 2661])",0.36662141557810757
0.022428999418035916,0.2092024567904232,0.9152101212872454,0.7147887618122546,"[2661, 2264, 2416, 3544, 3841, 1482, 1064]",4,"Set([1064, 1482, 2264, 2661])",0.4572203286195912,0.41255653780538076,0.34827533731695026,"Set([1064, 1482, 2264, 2661])",0.4572203286195912,"Set([2416, 1064, 1482, 2661])",0.4569720228497751
0.022428999418035916,0.2092024567904232,0.9152101212872454,0.7147887618122546,"[2661, 2264, 2416, 3544, 3841, 1482, 1064]",5,"Set([2416, 3841, 1064, 1482, 2661])",0.5363497198714843,0.5084255222994207,0.4456193503475714,"Set([3841, 1064, 1482, 2264, 2661])",0.5362821950187485,"Set([2416, 1064, 1482, 2264, 2661])",0.5324195579316906
0.022428999418035916,0.2092024567904232,0.9152101212872454,0.7147887618122546,"[2661, 2264, 2416, 3544, 3841, 1482, 1064]",6,"Set([2416, 1064, 1482, 2264, 3544, 2661])",0.604328774685115,0.5908037869751892,0.5677848784974951,"Set([2416, 3841, 1064, 1482, 2264, 2661])",0.6034366628016021,"Set([2416, 3841, 1064, 1482, 2264, 2661])",0.6034366628016021
0.16676524966967202,0.1885302620170476,0.8339372182664215,0.6627135159789487,"[875, 2923, 1393, 945, 2349, 2973, 2543]",2,"Set([1393, 945])",0.08040410337137227,0.060545735865174276,0.03971388590747371,"Set([1393, 945])",0.08040410337137227,"Set([1393, 945])",0.08040410337137227
0.16676524966967202,0.1885302620170476,0.8339372182664215,0.6627135159789487,"[875, 2923, 1393, 945, 2349, 2973, 2543]",3,"Set([1393, 945, 2543])",0.1186425037504002,0.0930576723061481,0.06808949894683303,"Set([1393, 945, 2543])",0.1186425037504002,"Set([1393, 945, 2973])",0.11224455950618639
0.16676524966967202,0.1885302620170476,0.8339372182664215,0.6627135159789487,"[875, 2923, 1393, 945, 2349, 2973, 2543]",4,"Set([1393, 945, 2349, 2543])",0.1524469923035856,0.12667990717545538,0.10141463754031022,"Set([1393, 945, 2349, 2543])",0.1524469923035856,"Set([1393, 2923, 945, 2973])",0.1448030599080239
0.16676524966967202,0.1885302620170476,0.8339372182664215,0.6627135159789487,"[875, 2923, 1393, 945, 2349, 2973, 2543]",5,"Set([1393, 945, 2349, 2973, 2543])",0.18639679227264938,0.16129347869879784,0.14261186206295118,"Set([1393, 945, 2349, 2973, 2543])",0.18639679227264938,"Set([1393, 2923, 945, 2973, 2543])",0.18393724208207696
0.16676524966967202,0.1885302620170476,0.8339372182664215,0.6627135159789487,"[875, 2923, 1393, 945, 2349, 2973, 2543]",6,"Set([2923, 1393, 945, 2349, 2973, 2543])",0.2196308687497771,0.196595717176614,0.1855971408111371,"Set([1393, 2923, 945, 2349, 2973, 2543])",0.2196308687497771,"Set([1393, 2923, 945, 2349, 2973, 2543])",0.2196308687497771
0.014104128287222252,0.1858313777380523,0.8892344552841542,0.7079302067245676,"[3376, 2512, 1483, 2105, 899, 2235]",2,"Set([1483, 899])",0.31088936432549297,0.2698042122558592,0.2230876052355002,"Set([1483, 899])",0.31088936432549297,"Set([1483, 899])",0.31088936432549297
0.014104128287222252,0.1858313777380523,0.8892344552841542,0.7079302067245676,"[3376, 2512, 1483, 2105, 899, 2235]",3,"Set([2512, 1483, 899])",0.4507773018884362,0.41131308007354717,0.3617385482651514,"Set([2512, 1483, 899])",0.4507773018884362,"Set([2512, 1483, 899])",0.4507773018884362
0.014104128287222252,0.1858313777380523,0.8892344552841542,0.7079302067245676,"[3376, 2512, 1483, 2105, 899, 2235]",4,"Set([3376, 2512, 1483, 899])",0.5603214586475767,0.5325599031062695,0.49278227065537905,"Set([3376, 2512, 1483, 899])",0.5603214586475767,"Set([3376, 2512, 1483, 899])",0.5603214586475767
0.014104128287222252,0.1858313777380523,0.8892344552841542,0.7079302067245676,"[3376, 2512, 1483, 2105, 899, 2235]",5,"Set([3376, 2512, 1483, 2105, 899])",0.6456408715974562,0.6296437112235667,0.6162001224723197,"Set([3376, 2512, 1483, 899, 2105])",0.6456408715974562,"Set([3376, 2512, 1483, 899, 2105])",0.6456408715974562
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[413, 3777, 3373, 1662, 3574, 236, 3621]",2,"Set([1662, 413])",0.050963157285684124,0.034707068115882374,0.026393415196749093,"Set([1662, 413])",0.050963157285684124,"Set([1662, 413])",0.050963157285684124
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[413, 3777, 3373, 1662, 3574, 236, 3621]",3,"Set([1662, 413, 3373])",0.1469937215197641,0.09591697042906817,0.06992633226525602,"Set([1662, 413, 3373])",0.1469937215197641,"Set([1662, 413, 3373])",0.1469937215197641
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[413, 3777, 3373, 1662, 3574, 236, 3621]",4,"Set([1662, 413, 3373, 236])",0.297514470835896,0.21404336641444835,0.16037305091545007,"Set([1662, 413, 3373, 236])",0.297514470835896,"Set([1662, 413, 3373, 236])",0.297514470835896
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[413, 3777, 3373, 1662, 3574, 236, 3621]",5,"Set([1662, 413, 3373, 236, 3574])",0.44268626710147263,0.38605354059523156,0.31299075313985447,"Set([1662, 413, 3373, 236, 3574])",0.44268626710147263,"Set([1662, 413, 3373, 236, 3574])",0.44268626710147263
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[413, 3777, 3373, 1662, 3574, 236, 3621]",6,"Set([1662, 413, 3373, 3777, 236, 3621])",0.6017784935928319,0.5728425820346965,0.5301259746989353,"Set([1662, 413, 3373, 236, 3621, 3574])",0.6012742527287391,"Set([1662, 413, 3373, 236, 3777, 3574])",0.601065482631655
0.1912558323159178,0.17445179981178732,0.8966647837729942,0.8050821472184531,"[3658, 3841, 1309, 3948, 3237, 3393, 2125]",2,"Set([1309, 2125])",0.06135745558743699,0.044026786897350664,0.03029672658441851,"Set([1309, 2125])",0.06135745558743699,"Set([1309, 3237])",0.05774037013268907
0.1912558323159178,0.17445179981178732,0.8966647837729942,0.8050821472184531,"[3658, 3841, 1309, 3948, 3237, 3393, 2125]",3,"Set([1309, 3237, 2125])",0.09060658281425504,0.06862656381370105,0.0511155930431505,"Set([1309, 3237, 2125])",0.09060658281425504,"Set([1309, 3237, 3393])",0.09012734509744924
0.1912558323159178,0.17445179981178732,0.8966647837729942,0.8050821472184531,"[3658, 3841, 1309, 3948, 3237, 3393, 2125]",4,"Set([1309, 3237, 3393, 2125])",0.12384248384411045,0.09474262148504677,0.07591900273795238,"Set([1309, 3237, 3393, 2125])",0.12384248384411045,"Set([1309, 3237, 3393, 2125])",0.12384248384411045
0.1912558323159178,0.17445179981178732,0.8966647837729942,0.8050821472184531,"[3658, 3841, 1309, 3948, 3237, 3393, 2125]",5,"Set([3658, 1309, 3237, 3393, 2125])",0.14042988693583558,0.12265926969843877,0.10620074145353575,"Set([3658, 1309, 3237, 3393, 2125])",0.14042988693583558,"Set([1309, 3948, 3237, 3393, 2125])",0.1402647506211694
0.1912558323159178,0.17445179981178732,0.8966647837729942,0.8050821472184531,"[3658, 3841, 1309, 3948, 3237, 3393, 2125]",6,"Set([3841, 1309, 3948, 3237, 3393, 2125])",0.1610446399477684,0.15188290513455388,0.13815938364153835,"Set([3658, 1309, 3948, 3237, 3393, 2125])",0.16070330850339443,"Set([3658, 1309, 3948, 3237, 3393, 2125])",0.16070330850339443
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",2,"Set([1650, 1231])",0.11680627483071004,0.07883996385019089,0.046649877921075666,"Set([1650, 1231])",0.11680627483071004,"Set([1650, 1231])",0.11680627483071004
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",3,"Set([1650, 1231, 2974])",0.17680450285460847,0.12639975238901294,0.08591673465716443,"Set([1650, 1231, 2974])",0.17680450285460847,"Set([1650, 1231, 2974])",0.17680450285460847
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",4,"Set([1650, 1231, 2974, 2955])",0.24221237916964633,0.1788755432367952,0.1283894777570297,"Set([1650, 1231, 2974, 2955])",0.24221237916964633,"Set([1650, 1231, 2974, 2955])",0.24221237916964633
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",5,"Set([1650, 2288, 1231, 2974, 2955])",0.30029847430547296,0.23570234613756566,0.17991347735558094,"Set([1650, 2288, 1231, 2974, 2955])",0.30029847430547296,"Set([1650, 261, 1231, 2974, 2955])",0.29506285689801404
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",6,"Set([1997, 1650, 2288, 1231, 2974, 2955])",0.3589848137072563,0.2960546951647945,0.2390108685643264,"Set([1997, 1650, 2288, 1231, 2974, 2955])",0.3589848137072563,"Set([1650, 261, 2288, 1231, 2974, 2955])",0.35323615684731025
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",7,"Set([1997, 261, 1650, 2288, 1231, 2974, 2955])",0.4133061477479451,0.35861468588529516,0.3081835029812543,"Set([1997, 1650, 2288, 261, 1231, 2974, 2955])",0.4133061477479451,"Set([1997, 1650, 261, 2288, 1231, 2974, 2955])",0.4133061477479451
0.13539631914245362,0.08917368565760818,0.795968713550346,0.7101175706724224,"[786, 1997, 261, 1650, 2288, 1231, 2974, 2955, 3515]",8,"Set([1997, 261, 1650, 2288, 1231, 2974, 2955, 3515])",0.46362233658328483,0.42248136465772357,0.3938384053028784,"Set([1997, 1650, 2288, 261, 1231, 2974, 2955, 3515])",0.46362233658328483,"Set([1997, 1650, 261, 2288, 1231, 2974, 2955, 3515])",0.46362233658328483
0.1696578148852448,0.18799929649547276,0.7722527565388239,0.7439853347846479,"[1850, 1331, 1416, 3121, 2863, 395, 2955]",2,"Set([1850, 1331])",0.059202043381458735,0.04625721337676191,0.03460611848469364,"Set([1850, 1331])",0.059202043381458735,"Set([1850, 1331])",0.059202043381458735
0.1696578148852448,0.18799929649547276,0.7722527565388239,0.7439853347846479,"[1850, 1331, 1416, 3121, 2863, 395, 2955]",3,"Set([1850, 1331, 1416])",0.09084964458965095,0.07242155406991807,0.059121054088590363,"Set([1850, 1331, 1416])",0.09084964458965095,"Set([1850, 1331, 1416])",0.09084964458965095
0.1696578148852448,0.18799929649547276,0.7722527565388239,0.7439853347846479,"[1850, 1331, 1416, 3121, 2863, 395, 2955]",4,"Set([1850, 1331, 1416, 2863])",0.11617552915110974,0.10022756306905359,0.08541956695188335,"Set([1850, 1331, 1416, 2863])",0.11617552915110974,"Set([1850, 1331, 1416, 3121])",0.11608670727995485
0.1696578148852448,0.18799929649547276,0.7722527565388239,0.7439853347846479,"[1850, 1331, 1416, 3121, 2863, 395, 2955]",5,"Set([1850, 1331, 1416, 3121, 2863])",0.1442501834635327,0.1293660637968092,0.1163907638089865,"Set([1850, 1331, 1416, 3121, 2863])",0.1442501834635327,"Set([1850, 1331, 1416, 3121, 2863])",0.1442501834635327
0.1696578148852448,0.18799929649547276,0.7722527565388239,0.7439853347846479,"[1850, 1331, 1416, 3121, 2863, 395, 2955]",6,"Set([1850, 1331, 1416, 3121, 2863, 2955])",0.16934580580727898,0.15927409492636932,0.15177032673159319,"Set([1850, 1331, 1416, 3121, 2863, 2955])",0.16934580580727898,"Set([1850, 1331, 1416, 3121, 2863, 2955])",0.16934580580727898
0.018207758447796252,0.02634322354957184,0.8147182928292939,0.8012805947149679,"[2422, 616, 2235, 3040, 2772, 1, 2355]",2,"Set([2772, 1])",0.17834463321286598,0.13144003032164914,0.10729453439606063,"Set([2772, 1])",0.17834463321286598,"Set([3040, 1])",0.17814889927671596
0.018207758447796252,0.02634322354957184,0.8147182928292939,0.8012805947149679,"[2422, 616, 2235, 3040, 2772, 1, 2355]",3,"Set([3040, 2772, 1])",0.3621019928941489,0.28861045259514256,0.23874070327748653,"Set([3040, 2772, 1])",0.3621019928941489,"Set([3040, 2772, 1])",0.3621019928941489
0.018207758447796252,0.02634322354957184,0.8147182928292939,0.8012805947149679,"[2422, 616, 2235, 3040, 2772, 1, 2355]",4,"Set([3040, 2772, 2355, 1])",0.544991945565793,0.48781367946216125,0.4174117408871556,"Set([3040, 2772, 2355, 1])",0.544991945565793,"Set([616, 3040, 2772, 1])",0.5390177625850407
0.018207758447796252,0.02634322354957184,0.8147182928292939,0.8012805947149679,"[2422, 616, 2235, 3040, 2772, 1, 2355]",5,"Set([2235, 3040, 2772, 1, 2355])",0.7119942002571678,0.6784565981651239,0.6144684341587301,"Set([3040, 2772, 2355, 1, 2235])",0.7119942002571678,"Set([616, 3040, 2772, 2355, 1])",0.7115465415084098
0.018207758447796252,0.02634322354957184,0.8147182928292939,0.8012805947149679,"[2422, 616, 2235, 3040, 2772, 1, 2355]",6,"Set([616, 2235, 3040, 2772, 1, 2355])",0.8358186535871865,0.8201838059458254,0.7775995594967445,"Set([616, 3040, 2772, 2355, 1, 2235])",0.8358186535871865,"Set([616, 3040, 2772, 2355, 1, 2235])",0.8358186535871865
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]",2,"Set([1526, 1709])",0.0484894220053258,0.035591334399617654,0.023039358025728318,"Set([1456, 2141])",0.0425219885599607,"Set([1456, 1526])",0.048312511134994685
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]",3,"Set([1456, 1526, 1709])",0.16174768154789998,0.09875274226548796,0.06267849537662185,"Set([1456, 1526, 2141])",0.13288943205092452,"Set([1456, 1526, 1709])",0.16174768154789998
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]",4,"Set([1456, 1526, 2735, 1709])",0.3312186822475006,0.21925171014551934,0.14752405173112493,"Set([1456, 1526, 2141, 1709])",0.318161133168422,"Set([1456, 1526, 2735, 1709])",0.3312186822475006
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]",5,"Set([1456, 1526, 2141, 2735, 1709])",0.5123869017416374,0.39352159630316513,0.31853379611211496,"Set([1456, 1526, 2141, 2735, 1709])",0.5123869017416374,"Set([1456, 1526, 2735, 2141, 1709])",0.5123869017416374
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]",6,"Set([3832, 1456, 1526, 2141, 2735, 1709])",0.6597627279750105,0.5836090953857347,0.5531878907612174,"Set([1456, 3832, 1526, 2141, 2735, 1709])",0.6597627279750105,"Set([1456, 3832, 1526, 2735, 2141, 1709])",0.6597627279750105
0.1797908417614246,0.0357093955671657,0.7164285241638918,0.5343316888721459,"[2354, 407, 727, 1869, 2542, 1, 609]",2,"Set([1869, 1])",0.17390675198363437,0.09914741443594048,0.05558050210389032,"Set([1869, 1])",0.17390675198363437,"Set([1869, 1])",0.17390675198363437
0.1797908417614246,0.0357093955671657,0.7164285241638918,0.5343316888721459,"[2354, 407, 727, 1869, 2542, 1, 609]",3,"Set([1869, 1, 2354])",0.23144736607071115,0.156453663413024,0.09595591518653368,"Set([1869, 1, 2354])",0.23144736607071115,"Set([407, 1869, 1])",0.22472179379840973
0.1797908417614246,0.0357093955671657,0.7164285241638918,0.5343316888721459,"[2354, 407, 727, 1869, 2542, 1, 609]",4,"Set([1869, 2542, 1, 2354])",0.29270232352395475,0.2186362363598976,0.1423615609451908,"Set([1869, 2542, 1, 2354])",0.29270232352395475,"Set([407, 1869, 1, 609])",0.27669200653785986
0.1797908417614246,0.0357093955671657,0.7164285241638918,0.5343316888721459,"[2354, 407, 727, 1869, 2542, 1, 609]",5,"Set([407, 1869, 2542, 1, 2354])",0.3472352428704782,0.2853104989343689,0.20380618482151813,"Set([407, 1869, 2542, 1, 2354])",0.3472352428704782,"Set([2354, 407, 1869, 1, 609])",0.33942104157116143
0.1797908417614246,0.0357093955671657,0.7164285241638918,0.5343316888721459,"[2354, 407, 727, 1869, 2542, 1, 609]",6,"Set([609, 407, 1869, 2542, 1, 2354])",0.4024823842724691,0.35487300822505013,0.2908283214056881,"Set([609, 407, 1869, 2542, 1, 2354])",0.4024823842724691,"Set([2354, 407, 1869, 2542, 1, 609])",0.4024823842724691
0.03016308185792599,0.2148299988429244,0.9892599126376744,0.7659638445806707,"[29, 1996, 3160, 2806, 173, 1547, 3041]",2,"Set([1547, 3041])",0.19645184282860906,0.16848540269231144,0.14289836640509623,"Set([1547, 3041])",0.19645184282860906,"Set([1547, 3041])",0.19645184282860906
